dimensions,number_of_walks,walk_length,window_size,duration,f1_binary_lr,f1_macro_lr,f1_binary_xgb,f1_macro_xgb,duration_sd,f1_binary_lr_sd,f1_macro_lr_sd,f1_binary_xgb_sd,f1_macro_xgb_sd
32,1,2,2,0.13543577194213868,0.08224185871652481,0.4017829962400187,0.0,0.4864503395693311,0.012590173429054163,0.016513548016929634,0.011611754082997429,0.0,0.00038952320098258194
32,1,4,2,0.1824589729309082,0.10475942094997522,0.4181789798413561,0.0,0.4866451242280626,0.002178004295563676,0.023423413422209265,0.011995337862029313,0.0,0.00019460002872324634
32,1,8,2,0.269806432723999,0.08192596876807404,0.4066657284536676,0.013793103448275858,0.4936339493975545,0.003173419503840857,0.008699309760721512,0.014663922225481215,0.027586206896551717,0.014027565852591826
32,1,16,2,0.43929829597473147,0.09191746576422957,0.42035333051102314,0.0,0.48635303955496945,0.0033923245331435067,0.026546556058601286,0.017780825883725083,0.0,0.00036435945096739003
32,1,32,2,0.7951431751251221,0.07676424150453581,0.40187600596329986,0.0,0.48615806974021825,0.02811678987865028,0.015206600361866896,0.008800792265597511,0.0,0.00047768950268173033
32,4,2,2,0.33762874603271487,0.07877277260100249,0.41277444103281313,0.0,0.4864503395693311,0.062339696639031834,0.00787506299803656,0.008611072843626583,0.0,0.00038952320098258194
32,4,4,2,0.49395222663879396,0.08954551889511715,0.4117027230005424,0.0,0.4866451242280626,0.03861688979034635,0.020225155689257472,0.012273565695433255,0.0,0.00019460002872324634
32,4,8,2,0.8199605464935302,0.09147229907455404,0.41710603663269163,0.0,0.4865476395836927,0.0048074539405945586,0.025301316960594587,0.0147536653834916,0.0,0.00038956931746305653
32,4,16,2,1.5636743545532226,0.08338472480161199,0.4010344810071779,0.0,0.4867424242424242,0.04007655871939504,0.012286129617560749,0.011842949689325939,0.0,5.551115123125783e-17
32,4,32,2,2.8866312503814697,0.09878804195318913,0.416005679294428,0.012903225806451613,0.4928967315510643,0.010810515255105308,0.010045051538338937,0.011839134372037072,0.025806451612903226,0.012801134751181813
32,8,2,2,0.549459171295166,0.08578834748504591,0.41099138895996107,0.0,0.48625573954060786,0.03925884216316428,0.024166153283119163,0.017527337399327242,0.0,0.00030798167043714594
32,8,4,2,0.8991547584533691,0.09133332254725277,0.4182743733531685,0.0,0.4866451242280626,0.05218901068814554,0.01352065668373271,0.013336370773852368,0.0,0.00019460002872324634
32,8,8,2,1.5939115524291991,0.08381602227285248,0.40414260410583414,0.0,0.4866451242280626,0.027982002524132844,0.02611024016325337,0.01449452931155227,0.0,0.00019460002872324634
32,8,16,2,3.01924147605896,0.09866035109804441,0.4135174020527538,0.0,0.4864503395693311,0.06211821766920268,0.012898923513889746,0.007939679503665713,0.0,0.00038952320098258194
32,8,32,2,5.768403768539429,0.09516045204731498,0.41348601218985365,0.0,0.4864505241993394,0.06640890928734795,0.009494995620152881,0.006546110145069502,0.0,0.00023833538715145185
32,16,2,2,0.9898944854736328,0.083467857566874,0.41024741116806995,0.013793103448275858,0.4936339493975546,0.04307397564558073,0.01715514106978492,0.019848656691104624,0.027586206896551717,0.014027565852591826
32,16,4,2,1.7035580635070802,0.09467808998414413,0.41472959916765495,0.0,0.4865476395836927,0.05968215339130282,0.008614490284672103,0.011453778044086465,0.0,0.0003895693174630566
32,16,8,2,3.070829153060913,0.08196643319677548,0.41416879092335324,0.0,0.4862555549105996,0.04760433561815448,0.03596173095029173,0.023581723321562668,0.0,0.00043555177703004453
32,16,16,2,5.90116515159607,0.09235372955181292,0.40814461362681964,0.0,0.4867424242424242,0.11056747670114762,0.021977864334043338,0.020427117016639875,0.0,5.551115123125783e-17
32,16,32,2,11.30968623161316,0.08763783681164156,0.41042455574063996,0.0,0.48606077025186806,0.09246924453859648,0.018122147623253957,0.010489011152797222,0.0,0.00038961551597700326
32,32,2,2,1.9027788639068604,0.09448166397199034,0.4180582818387723,0.0,0.4863532241849778,0.04819899142360791,0.023833397835653636,0.014656076736165655,0.0,0.00019460002872324634
32,32,4,2,3.311674451828003,0.0957493767853989,0.4182153217021722,0.0,0.4865476395836927,0.03638594632348405,0.02146468876509989,0.015044754762970637,0.0,0.00038956931746305653
32,32,8,2,6.082654047012329,0.09392486509838789,0.4127573572176259,0.0,0.4866451242280626,0.0767558815218726,0.021255187326960644,0.016486134467094783,0.0,0.00019460002872324634
32,32,16,2,11.526996421813966,0.0895513632345061,0.41529172225562616,0.0,0.48635285492496116,0.08232864277652399,0.02435808716784848,0.014876375483213524,0.0,0.00047712302361440034
32,32,32,2,22.63363833427429,0.08227782015392904,0.39720897122464793,0.0,0.4864505241993394,0.1392366648894771,0.01423169969438527,0.01504162225011378,0.0,0.00023833538715145185
64,1,2,2,0.1432656764984131,0.09611650622275138,0.43529674416752656,0.0,0.4864505241993394,0.008671354329983593,0.012386245468576394,0.00896059172463376,0.0,0.00023833538715145185
64,1,4,2,0.18154773712158204,0.07456212270062769,0.4149808626196716,0.0,0.4866451242280626,0.0016126307600389065,0.011170850886399195,0.013007199332465354,0.0,0.00019460002872324634
64,1,8,2,0.2673924922943115,0.0933436171753407,0.43009464448784807,0.0,0.4864505241993394,0.002447858609091628,0.019673009897471956,0.009458889157768349,0.0,0.00023833538715145185
64,1,16,2,0.44011998176574707,0.10646822377278178,0.43869665194502555,0.0,0.4866451242280626,0.002244011736648933,0.01081796020272292,0.005011283606732836,0.0,0.00019460002872324634
64,1,32,2,0.7791313171386719,0.09779351584323424,0.42788040773031144,0.0,0.4867424242424242,0.0027667009318045484,0.021628732203660475,0.019185448961268566,0.0,5.551115123125783e-17
64,4,2,2,0.3027303695678711,0.1047258392110669,0.4328795364148582,0.0,0.4867424242424242,0.002693730942541393,0.023841163721416217,0.01362255253655517,0.0,5.551115123125783e-17
64,4,4,2,0.49782114028930663,0.07922400030159756,0.4203186998807449,0.0,0.4864503395693311,0.03690022687064758,0.016819123151154292,0.015369689299239195,0.0,0.00038952320098258194
64,4,8,2,0.8240270137786865,0.06676514559005069,0.41765405332480815,0.0,0.4866451242280626,0.005193229123541811,0.01286485285674747,0.00810834534500503,0.0,0.00019460002872324634
64,4,16,2,1.5446312427520752,0.09191528856464447,0.4209049264643827,0.0,0.48654782421370096,0.05085530067579236,0.023945319900422934,0.015117533719036623,0.0,0.00023833538715145185
64,4,32,2,2.9021578788757325,0.09157941415543516,0.4273713828493785,0.0,0.4866451242280626,0.04878491376521999,0.024253061755523643,0.018543610915063624,0.0,0.00019460002872324634
64,8,2,2,0.5448976516723633,0.09516599246680069,0.4209647650672654,0.0,0.4867424242424242,0.04540749347277068,0.0190072779144586,0.01903265609572688,0.0,5.551115123125783e-17
64,8,4,2,0.8882822513580322,0.1013441391563565,0.42977654541331967,0.0,0.4866451242280626,0.03546080785901503,0.014250494308028164,0.01393553934650316,0.0,0.00019460002872324634
64,8,8,2,1.6009998321533203,0.0823906944969904,0.4126960586816394,0.0,0.486547824213701,0.04819450531714551,0.011737771663146861,0.004538117942411513,0.0,0.00023833538715145185
64,8,16,2,2.954627180099487,0.08906070273958275,0.42321849180675286,0.0,0.486547824213701,0.03508804844964013,0.022084689943668932,0.012279577423897738,0.0,0.00023833538715145185
64,8,32,2,5.694207334518433,0.0903916900637299,0.4258787797920466,0.013793103448275858,0.4936339493975546,0.07421060647159022,0.020495020859089705,0.015661518787022332,0.027586206896551717,0.014027565852591826
64,16,2,2,1.0005620956420898,0.09527168234064787,0.4277593566937473,0.0,0.4867424242424242,0.04747746218607741,0.007914524166858347,0.011586371954840519,0.0,5.551115123125783e-17
64,16,4,2,1.7000162124633789,0.08050845803048605,0.4179676161107155,0.0,0.486547824213701,0.05267310577486612,0.017036367213695166,0.011895324291414653,0.0,0.00023833538715145185
64,16,8,2,3.0868157386779784,0.09806419745664648,0.43375911559474467,0.0,0.4867424242424242,0.050371132116382195,0.013098154596190376,0.010465926472188547,0.0,5.551115123125783e-17
64,16,16,2,5.842115449905395,0.07847317346013975,0.4160719141733593,0.0,0.4867424242424242,0.052908664956726484,0.012437163318055462,0.0072266596299926785,0.0,5.551115123125783e-17
64,16,32,2,11.422714614868164,0.08871461229030442,0.4189832235923248,0.0,0.4865476395836927,0.09160732689124049,0.019388416325708955,0.015338649796426705,0.0,0.00038956931746305653
64,32,2,2,1.9401044845581055,0.09644094902435398,0.42565158892013677,0.0,0.4866451242280626,0.07130222045650343,0.02373955111957108,0.012859240908997552,0.0,0.00019460002872324634
64,32,4,2,3.3607383251190184,0.08248457531582212,0.4195307334908881,0.013793103448275858,0.4936339493975545,0.09306008743323686,0.018354668641084787,0.01446435187741175,0.027586206896551717,0.014027565852591826
64,32,8,2,6.068143224716186,0.10166744689390281,0.439584365910526,0.0,0.486547824213701,0.05605498138366571,0.018400491254797445,0.020827911961317114,0.0,0.00023833538715145185
64,32,16,2,11.60858154296875,0.09470549346179,0.4323262116682053,0.0,0.486547824213701,0.1306549232713006,0.010582574531409797,0.007799761654621148,0.0,0.00023833538715145185
64,32,32,2,22.644043016433717,0.09383685917346367,0.43322347478414774,0.0,0.4867424242424242,0.1915062756236241,0.030460262899291168,0.0194982419312747,0.0,5.551115123125783e-17
128,1,2,2,0.1441816806793213,0.11845809350496306,0.46572182114117167,0.0,0.4867424242424242,0.008315994230032661,0.023246159850464323,0.015986559367704434,0.0,5.551115123125783e-17
128,1,4,2,0.18348121643066406,0.07679817842927539,0.4382169448972645,0.0,0.4866451242280626,0.0017950179485006707,0.011654560167870486,0.010171705862856236,0.0,0.00019460002872324634
128,1,8,2,0.2689838409423828,0.09048945346223673,0.45140569572367084,0.0,0.4867424242424242,0.0028223307749993005,0.018957037745371334,0.011386799953395197,0.0,5.551115123125783e-17
128,1,16,2,0.47445287704467776,0.08113779793778725,0.4366518484604147,0.0,0.486547824213701,0.05166674785525523,0.024387190049813254,0.020572753530476454,0.0,0.00023833538715145185
